user,date,text,latitude,longitude;;
RhiRhiPalmer,Sat Aug 10 17:59:00 +0000 2019,b'#westend @ Brasserie Z?del https://t.co/4M8WzSWSCv',51.51058029,-0.13581443;;
Elias_Jahshan,Sat Aug 10 17:57:48 +0000 2019,b'?I will never forget Palestine.? \n.\nThanks amro.tabari for the t-shirt! And for @AEvansMusic for the superior camer? https://t.co/Ek9I4DAe8O',51.50711486,-0.12731805;;
lou0305,Sat Aug 10 17:55:38 +0000 2019,b'?#princecharlescinema #westend @ Chinatown London https://t.co/Nl06N6L4fj',51.51157,-0.13165;;
LittleKevFriday,Sat Aug 10 17:20:41 +0000 2019,b'Pre theatre munch! Just before I grab myself a cup of ambition ? #9-5 #london #dollyparton #savoy #savoytheatre? https://t.co/3Y6YBssdCT',51.5101173,-0.1218421;;
mikeexleysd41,Sat Aug 10 17:20:10 +0000 2019,b'My fav ? @ Beijing Dumpling Chinese Restaurant https://t.co/77WuPCTtUt',51.51171,-0.13016;;
jswhuang,Sat Aug 10 17:18:09 +0000 2019,b'#bbq #summer2019\n#tteokbokki #sainsburys\n#maggi #chilisauce #sweetcorn\n#limoncello #prosecco #cocktail\n#friends ami? https://t.co/BmnkFKYYXY',51.50711486,-0.12731805;;
"LozMB,Sat Aug 10 17:17:18 +0000 2019,""b""""It's just how we roll ???\n\nUP THE VILLA!!!!!\n\n#datenight #usnight #trainwankers #tottenhamhotspurs #astonvilla? https://t.co/qwIp7662eE"""""",51.50711486,-0.12731805";;
fredaspeaks,Sat Aug 10 17:15:31 +0000 2019,b'Too many of us can relate to this ?  Stock up on Freda so yiure fully prepped every month ? \n.\n? radillustrates? https://t.co/Q6bOHkv7eg',51.50711486,-0.12731805;;
mitrostziavaras,Sat Aug 10 17:15:04 +0000 2019,b'#mitrostziavaras #flowers #glifada #petal #google #twitter #nature #beautiful #love #sunset  #blossom? https://t.co/8zwmxBcwEC',51.50711486,-0.12731805;;
mitrostziavaras,Sat Aug 10 17:14:42 +0000 2019,b'#mitrostziavaras #flowers #glifada #petal #google #twitter #nature #beautiful #love #sunset  #blossom? https://t.co/RaLAg8RC6P',51.50711486,-0.12731805;;
Tonkertim,Sat Aug 10 17:13:17 +0000 2019,b'Bubbles! @ Soho Hotel https://t.co/kxzOojtR5T',51.5140629,-0.13385127;;
"OfficialChunter,Sat Aug 10 17:11:47 +0000 2019,""b'Home for the weekend.\n.\nWhatever you?re doing this weekend, do it with joy and I?ll see you on the other side.\n?\n?? https://t.co/EbPZr1WEWA'"",51.50711486,-0.12731805";;
FABhospitality,Sat Aug 10 17:10:23 +0000 2019,b'This is how we hope yours weekend   feels like.\n\n#refreshing; #fun; #tasty and obviously #FAB !! ???\nJust like us .? https://t.co/THAVuj5yoT',51.50711486,-0.12731805
"koolhakine,Sat Aug 10 17:08:56 +0000 2019,""b'#hahaha #food is #life #bless #happiness #music #dance ?????? #happysallah @theswicktv @ London, United Kingdom https://t.co/MJlNT1dICX'"",51.50711486,-0.12731805";;
"theKelsterrr,Sat Aug 10 17:08:33 +0000 2019,""b'London, baby! ? @ Tafalagure Square https://t.co/KGEvqRoncT'"",51.50809587,-0.12838175";;
angeldelight36,Sat Aug 10 17:06:50 +0000 2019,b'Dinner time &amp; cocktails ? chaterboxlg  choice ? @ TGI Fridays https://t.co/Km7bKrbGqp',51.5100476,-0.1240249;
ovobloom,Sat Aug 10 17:06:40 +0000 2019,b'S a t u r d a y ?\n.\nI?ve started working on some new pieces today.. once upon a time the 12? hoop would of terrifie? https://t.co/1NuupWkLTi',51.50711486,-0.12731805;;
ToddyPeters,Sat Aug 10 17:02:38 +0000 2019,b'Blackberry cake for pudding tonight. #familymeal #grandparents #foodislove\n#homemade #homegrown #handpicked @ Londo? https://t.co/l5KATkltAp',51.50711486,-0.12731805;;
"geoffbrawler,Sat Aug 10 17:01:07 +0000 2019,""b'https://t.co/ehXuV67917 #freemoney #comeandjoinme @ top_cashback ??? @ London, United Kingdom https://t.co/Wrcz0fqg9t'"",51.50711486,-0.12731805";;
camsmith_bowie,Sat Aug 10 17:00:57 +0000 2019,b'Day 58 ??\n58th pick = Into The Great Wide Open - Tom Perry and The Heartbreakers \nBackstory = this masterpiece has? https://t.co/bPmSxgyeyA',51.50711486,-0.12731805;;
"BrownFormanJobs,Sat Aug 10 17:00:57 +0000 2019,""b'Can you recommend anyone for this job? Brand Manager, JDTW - https://t.co/PO8rIx2i6y #Marketing #London, England'"",51.5073509,-0.1277583";;
DjLORDofficial,Sat Aug 10 17:00:43 +0000 2019,b'This man was supposed to be on suicide watch!!!! He was at the center of an international sex trafficking ring that? https://t.co/9cFbPj7KLk',51.50711486,-0.12731805;;
